Sentences,Types,Classification,Type,Classifications,Classifications_name
Making Peach with Food Coloring.,NON-INSTRUCTION,NON INSTRUCTION,0,0,
Making Small Sketches.,NON-INSTRUCTION,NON INSTRUCTION,0,0,
Making the Handle.,NON-INSTRUCTION,NON INSTRUCTION,0,0,
Making the Platen.,NON-INSTRUCTION,NON INSTRUCTION,0,0,
Making the Vacuum Former Box.,NON-INSTRUCTION,NON INSTRUCTION,0,0,
Measuring Deep Water.,NON-INSTRUCTION,NON INSTRUCTION,0,0,
Miscellaneous hacks.,NON-INSTRUCTION,NON INSTRUCTION,0,0,
Misting Mounted Air Plants.,NON-INSTRUCTION,NON INSTRUCTION,0,0,
Monitoring the Pond Temperature.,NON-INSTRUCTION,NON INSTRUCTION,0,0,
Networking.,NON-INSTRUCTION,NON INSTRUCTION,0,0,
option to select a star rating.,NON-INSTRUCTION,NON INSTRUCTION,0,0,
Painting Your Flower Pot.,NON-INSTRUCTION,NON INSTRUCTION,0,0,
Peach Color Theory.,NON-INSTRUCTION,NON INSTRUCTION,0,0,
Perfectionism stifles creativity and makes you less productive.,NON-INSTRUCTION,NON INSTRUCTION,0,0,
Planning the Trip.,NON-INSTRUCTION,NON INSTRUCTION,0,0,
"Planning Your Route	.",NON-INSTRUCTION,NON INSTRUCTION,0,0,
Practicing the letters.,NON-INSTRUCTION,NON INSTRUCTION,0,0,
Prepping the roof for painting.,NON-INSTRUCTION,NON INSTRUCTION,0,0,
Providing Proper Nutrition.,NON-INSTRUCTION,NON INSTRUCTION,0,0,
Pulling Official Records.,NON-INSTRUCTION,NON INSTRUCTION,0,0,
Puppies sometimes eat stones when they are bored.,NON-INSTRUCTION,NON INSTRUCTION,0,0,
Puppies with an inadequate diet are more likely to eat stones.,NON-INSTRUCTION,NON INSTRUCTION,0,0,
Purchasing the Necessary Equipment.,NON-INSTRUCTION,NON INSTRUCTION,0,0,
Rating by Improving Recommendations.,NON-INSTRUCTION,NON INSTRUCTION,0,0,
Receiving and Maintaining Your Patent.,NON-INSTRUCTION,NON INSTRUCTION,0,0,
Relaxing After the Movie.,NON-INSTRUCTION,NON INSTRUCTION,0,0,
Replanting a Rose Bush.,NON-INSTRUCTION,NON INSTRUCTION,0,0,
Replanting Rose Cuttings.,NON-INSTRUCTION,NON INSTRUCTION,0,0,
Shall he not come in?.,NON-INSTRUCTION,NON INSTRUCTION,0,0,
Shall he not come in?.,NON-INSTRUCTION,NON INSTRUCTION,0,0,
Shall we not eat dinner here?.,NON-INSTRUCTION,NON INSTRUCTION,0,0,
Shall we not go out?.,NON-INSTRUCTION,NON INSTRUCTION,0,0,
Shall we not go to the cinema?.,NON-INSTRUCTION,NON INSTRUCTION,0,0,
Snow tires have a mountain and snowflake symbol on the sidewall.,NON-INSTRUCTION,NON INSTRUCTION,0,0,
Snow tires have deep and square treads.,NON-INSTRUCTION,NON INSTRUCTION,0,0,
so you are not alone.,NON-INSTRUCTION,NON INSTRUCTION,0,0,
Soaking Loose Air Plants.,NON-INSTRUCTION,NON INSTRUCTION,0,0,
Some padlocks are specifically designed.,NON-INSTRUCTION,NON INSTRUCTION,0,0,
Spending Time with Your Pet.,NON-INSTRUCTION,NON INSTRUCTION,0,0,
Stepping away for some fresh air can help you mentally recharge.,NON-INSTRUCTION,NON INSTRUCTION,0,0,
Stone eating could be a sign of pica.,NON-INSTRUCTION,NON INSTRUCTION,0,0,
Studies show that spending time outdoors improves creative potential.,NON-INSTRUCTION,NON INSTRUCTION,0,0,
Taking Action After the Movie.,NON-INSTRUCTION,NON INSTRUCTION,0,0,
Tanning in the Backyard.,NON-INSTRUCTION,NON INSTRUCTION,0,0,
Tape and paper or plastic.,NON-INSTRUCTION,NON INSTRUCTION,0,0,
Tech and home office hacks.,NON-INSTRUCTION,NON INSTRUCTION,0,0,
Testing Surface Water.,NON-INSTRUCTION,NON INSTRUCTION,0,0,
Texturing Your Sculpture.,NON-INSTRUCTION,NON INSTRUCTION,0,0,
The air blasts moisture out of the lock.,NON-INSTRUCTION,NON INSTRUCTION,0,0,
The movie to ease your mind.,NON-INSTRUCTION,NON INSTRUCTION,0,0,
The name has an suffix.,NON-INSTRUCTION,NON INSTRUCTION,0,0,
the rubber bands through the holes.,NON-INSTRUCTION,NON INSTRUCTION,0,0,
The skinny ends of the box.,NON-INSTRUCTION,NON INSTRUCTION,0,0,
"The surface with a microfiber cloth, when it looks shiny.",NON-INSTRUCTION,NON INSTRUCTION,0,0,
The tires have deep grooves down the center.,NON-INSTRUCTION,NON INSTRUCTION,0,0,
This is a simple stretch to work your middle and lower back.,NON-INSTRUCTION,NON INSTRUCTION,0,0,
This lubricant keeps water out of any lock to prevent freezing.,NON-INSTRUCTION,NON INSTRUCTION,0,0,
This often allows the person to feel more comfortable discussing their problems.,NON-INSTRUCTION,NON INSTRUCTION,0,0,
This simple trick can keep the lock dry when itÃ¢â‚¬â„¢s cold.,NON-INSTRUCTION,NON INSTRUCTION,0,0,
Throughout common areas.,NON-INSTRUCTION,NON INSTRUCTION,0,0,
Tin Foil Boat Hat.,NON-INSTRUCTION,NON INSTRUCTION,0,0,
Tin Foil Cowboy Hat.,NON-INSTRUCTION,NON INSTRUCTION,0,0,
To any animals you already have.,NON-INSTRUCTION,NON INSTRUCTION,0,0,
To avoid dealing with files.,NON-INSTRUCTION,NON INSTRUCTION,0,0,
To prevent water from getting inside.,NON-INSTRUCTION,NON INSTRUCTION,0,0,
To the moon or bust.,NON-INSTRUCTION,NON INSTRUCTION,0,0,
Transition to a translunar trajectory.,NON-INSTRUCTION,NON INSTRUCTION,0,0,
Until you are happy with how the paint looks.,NON-INSTRUCTION,NON INSTRUCTION,0,0,
Using Online Sites.,NON-INSTRUCTION,NON INSTRUCTION,0,0,
Using the App.,NON-INSTRUCTION,NON INSTRUCTION,0,0,
Using the Command Prompt.,NON-INSTRUCTION,NON INSTRUCTION,0,0,
Using the Customer Review Option.,NON-INSTRUCTION,NON INSTRUCTION,0,0,
Using Your New Vacuum Former.,NON-INSTRUCTION,NON INSTRUCTION,0,0,
Warm hues make a warm peach.,NON-INSTRUCTION,NON INSTRUCTION,0,0,
Washing and using a clay bar.,NON-INSTRUCTION,NON INSTRUCTION,0,0,
Will fit snugly.,NON-INSTRUCTION,NON INSTRUCTION,0,0,
Winter or snow tires are rated specifically for snow and ice.,NON-INSTRUCTION,NON INSTRUCTION,0,0,
Winter tires have more stopping power in the snow.,NON-INSTRUCTION,NON INSTRUCTION,0,0,
Winter tires stay flexible below 40f or 4c.,NON-INSTRUCTION,NON INSTRUCTION,0,0,
Working with creative people opens your mind to new ideas.,NON-INSTRUCTION,NON INSTRUCTION,0,0,
Working with Other Assorted Materials.,NON-INSTRUCTION,NON INSTRUCTION,0,0,
You are not out of luck if your lock does freeze.,NON-INSTRUCTION,NON INSTRUCTION,0,0,
You are posting by clicking Captions while you upload.,NON-INSTRUCTION,NON INSTRUCTION,0,0,
You are safe.,NON-INSTRUCTION,NON INSTRUCTION,0,0,
You don't feel alone.,NON-INSTRUCTION,NON INSTRUCTION,0,0,
Adding Finishes.,NON-INSTRUCTION,SIMPLE INSTRUCTION,0,0,
Crafting with Fabric and Yarn.,NON-INSTRUCTION,SIMPLE INSTRUCTION,0,0,
Handling Difficult Calls.,NON-INSTRUCTION,SIMPLE INSTRUCTION,0,0,
On Linux .,NON-INSTRUCTION,SIMPLE INSTRUCTION,0,0,
Transferring the Call.,NON-INSTRUCTION,SIMPLE INSTRUCTION,0,0,
Accept primer sand.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Achieve low earth orbit.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Achieve lunar orbit.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Acknowledge your fear.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Add  files to youtube movies.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Add 50 drops of red food coloring.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Add a few drops of natural food coloring for a softer look.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Add a second and third coat of paint.,INSTRUCTION,SIMPLE INSTRUCTION,1,2,MANDATORY INSTRUCTION
Add a serif stroke to the bottom of a line.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Add a thin layer of yellow on top.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Add another layer of Mod Podge.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Add color.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Add gloss if desired.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Add in comfort items throughout the apartment.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Add more red to darken the color.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Add powdered food dye for an extra dark color.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Add smaller sections.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Add some kind of tent for a humid greenhouse effect.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Add subtitles to any movie file.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Add texture liberally.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Add white for a more opaque color.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Add your filler.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Add zip ties in fours for every loop you create.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Address your specific fears.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Allow yourself to take risks and make mistakes.,INSTRUCTION,SIMPLE INSTRUCTION,1,2,MANDATORY INSTRUCTION
Alternate between commands and windows.,INSTRUCTION,NON INSTRUCTION,1,2,MANDATORY INSTRUCTION
Alternate between jogging and walking when you start.,INSTRUCTION,NON INSTRUCTION,1,2,MANDATORY INSTRUCTION
"Alternately, conduct a patent search online.",INSTRUCTION,NON INSTRUCTION,1,1,SIMPLE INSTRUCTION
"Alternately, prepare your patent application yourself.",INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Always remember who's boss.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Anchor your foot.,INSTRUCTION,NON INSTRUCTION,1,1,SIMPLE INSTRUCTION
Answer the phone in as few rings as possible.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Answer the Phone.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Apply 1 coat of finishing polish using a polishing wheel.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Apply 3 layers of rattle.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Apply a clear sealer once your design is dry.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Apply a sealer.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Apply a second layer of paint.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Apply a synthetic hormone to the stem.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Apply about 1A tsp  of car buffing compound to the buffing pad.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Apply the tanning solution.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Apply your decoupage cutout.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Ask a friend or family member to have a sleepover.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Ask the right questions.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Ask them how they got their job.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Ask to help out at a wildlife rehabilitation center.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Ask your kids to help your plan.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Assemble your own sock puppet cast of characters.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Assemble Your Supplies.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Assume that someone from your organization is listening in on the conversation.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
"At both ends of the crossbar, flare out the ends.",INSTRUCTION,NON INSTRUCTION,1,1,SIMPLE INSTRUCTION
"At home, pick what interests you.",INSTRUCTION,NON INSTRUCTION,1,1,SIMPLE INSTRUCTION
"At the crescents midpoint, draw a small triangle pointing downwards.",INSTRUCTION,NON INSTRUCTION,1,1,SIMPLE INSTRUCTION
Attach it to an electric buffer.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Attach the neck to the body of the guitar.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Attach the vacuum.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Avoid getting upset or angry.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Avoid taking it personally.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Avoid watching scary movies at night.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Avoid watching scary movies.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Balance the safety and convenience.,INSTRUCTION,SIMPLE INSTRUCTION,1,2,MANDATORY INSTRUCTION
Be nice to your friends.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Be patient with your pet.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Be quiet!.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Be sure to pay your maintenance fees.,INSTRUCTION,SIMPLE INSTRUCTION,1,4,INSTRUCTION WITH PURPOSE
Be there at five.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Bend the blunt hose nozzle in half.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Beware of shinines.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Blend your shading with a finger.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Boost creativity by reconnecting with artists who you admire.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Break your chosen item into small pieces.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Breathe regularly as you jog.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Bring a stroller or wagon.,INSTRUCTION,SIMPLE INSTRUCTION,1,3,INSTRUCTION WITH OPTION
Bring an umbrella in case of rain.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Bring baby essentials.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Bring it home.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Bring life into your apartment by adding houseplants.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Bring me a glass of water.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Bring the book to me.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Bring the Essentials.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Bring the top flap over the triangle.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Bring your entertainment.,INSTRUCTION,NON INSTRUCTION,1,1,SIMPLE INSTRUCTION
Bring your puppy to the vet.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Buff the wax off with a clean microfiber cloth.,INSTRUCTION,NON INSTRUCTION,1,1,SIMPLE INSTRUCTION
Buff your body.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Build a small mound of soil in the center of the hole.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Build the main box by stacking and gluing the three frame pieces together.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Build up to jogging with regular walks.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Build your armature.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Buy a mountable backup camera for your specific vehicle.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Buy a scrub brush attachment for your drill to clean tile and ceramic.,INSTRUCTION,SIMPLE INSTRUCTION,1,4,INSTRUCTION WITH PURPOSE
Buy power and video cords.,INSTRUCTION,SIMPLE INSTRUCTION,1,2,MANDATORY INSTRUCTION
Capture the fun of a day in the country.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Carry multiple plastic bags at once with a large carabiner clip.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Check city directories and atlases.,INSTRUCTION,SIMPLE INSTRUCTION,1,2,MANDATORY INSTRUCTION
Check for internship positions in zoo.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Check for metal studs in your tires.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Check other common venues for job postings.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Check out hackerty per net.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Check out some architecture books.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Check the zoo website for a schedule of events.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Chill a beverage quickly in the freezer with wet paper towels.,INSTRUCTION,NON INSTRUCTION,1,1,SIMPLE INSTRUCTION
Choose a color according to your reason and use of your basket.,INSTRUCTION,SIMPLE INSTRUCTION,1,2,MANDATORY INSTRUCTION
Choose a comfortable pair of running shoes.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Choose a garden spot that is free of weeds and other plants.,INSTRUCTION,SIMPLE INSTRUCTION,1,2,MANDATORY INSTRUCTION
Choose a good ball.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Choose a good set of clubs.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Choose acrylic paints in the colors of your choice.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
"Choose eamonn, not seamus.",INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Choose the right tools.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Choose your friends wisely.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Choose your snips based on how you want to cut.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Clamp all four sides of the box and allow the glue to dry.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Clamp the thermoplastic sheet between the frame pieces with the binder clips.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Clamp the two flush sides until the it is fully dried.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Clean the roof thoroughly with wet rags.,INSTRUCTION,NON INSTRUCTION,1,1,SIMPLE INSTRUCTION
Clean your flower pot.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Clean your room.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Clear plastic piece inside the hole.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Click A�Download torrent Web.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Click on the most appropriate subclass number.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Click on the rate .,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Click on the red P icon to the left of the subclass number.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Click on the show or series.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Click on the subclass number.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Click A OK.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
